size,bedrooms,price
3665,4,1318846.22
4935,4,1664446.77
3144,2,1041655.65
1545,5,733415.62
4056,5,1477386.12
3181,4,1144973.92
3699,2,1179440.86
1438,5,687617.16
941,2,350726.5
3050,2,1010749.97
4725,4,1641078.97
1096,4,540735.17
2005,1,611026.92
1361,5,662309.03
3140,5,1185616.6
4231,5,1493825.65
2051,3,772000.43
3736,2,1210965.24
2236,4,861089.32
1949,5,837180.9
764,1,266682.31
3159,5,1199614.72
3221,2,1054433.5
1962,2,677830.77
4752,4,1645458.6
1945,3,755393.43
2798,4,1005226.92
3425,5,1292441.46
2132,1,717571.82
2874,4,1093347.54
1012,3,464007.59
715,4,393352.04
3831,2,1261899.62
2672,5,1034214.95
3653,5,1339040.7
2206,5,919461.64
2606,5,1015704.81
2067,5,847171.99
2708,5,1071715.47
2831,1,936644.48
2653,3,970764.69
1628,5,752543.72
4010,3,1372583.71
4823,5,1709654.39
4153,4,1454898.0
2865,5,1127472.36
3421,2,1098932.74
1579,1,527689.71
4011,4,1401681.04
3241,4,1173878.06
3520,2,1146772.56
728,5,478809.76
670,1,234641.44
794,4,427522.9
4784,1,1472122.4
925,4,494778.93
1418,5,675165.53
3753,4,1316683.35
998,4,491931.41
3309,3,1142777.61
1325,5,679943.5
4279,2,1358969.59
2358,2,820910.2
2618,5,1044837.25
645,2,275840.69
4077,5,1502437.47
692,2,318385.61
4388,3,1456245.33
551,2,228111.73
2910,4,1077582.94
2320,5,945105.09
3464,1,1068585.74
3021,1,935427.71
2369,5,978070.2
3068,3,1031286.1
2367,2,816385.66
3238,3,1117651.26
3769,1,1190643.1
3699,5,1353813.9
3079,5,1179565.5
4505,3,1486644.5
740,3,371015.9
3940,2,1291781.68
1907,4,775117.44
4002,4,1408206.14
4538,2,1442841.57
582,4,362786.51
4268,1,1318933.2
1450,4,629470.2
1110,2,460171.66
4105,4,1424416.42
3783,5,1362028.81
2673,3,962732.91
3984,1,1272132.87
2022,5,831375.76
3101,5,1219756.22
3157,2,1055403.53
2659,3,968377.82
2949,3,1064041.43
4330,1,1368452.35
621,2,284089.29
4868,1,1534753.96
1817,4,750192.0
4993,5,1769709.69
3018,1,979397.51
1730,5,747182.07
1633,2,605786.02
1801,4,736662.16
4534,2,1462963.81
2410,4,925541.85
2005,4,803239.4
3685,5,1385970.51
2416,2,797471.05
4048,2,1279953.13
3257,1,988434.2
2456,2,858182.89
678,1,237931.25
1396,3,571443.73
2051,3,763005.66
991,3,429572.5
560,2,285029.54
1577,2,570550.74
3395,1,1063745.3
4660,4,1602657.43
4183,1,1319315.44
1085,3,456320.48
4460,1,1405458.37
4270,4,1509997.07
1034,2,381677.55
3962,1,1244165.98
4511,3,1497201.56
3898,3,1333384.61
2655,2,872166.82
1504,1,533778.76
2999,4,1067542.1
826,2,342914.38
3206,1,1020485.92
501,5,386573.26
1533,3,593031.97
2981,4,1098744.71
624,4,388755.2
1604,4,681318.76
3199,3,1126873.77
2361,1,750410.55
3420,2,1132391.85
628,1,228267.94
937,2,364113.41
3048,4,1108704.83
3629,1,1128724.7
1721,4,707323.92
1401,5,693606.55
3668,4,1295317.93
4986,4,1682541.87
4418,2,1425961.58
1567,5,722184.56
526,4,334062.38
1047,4,508131.87
3168,5,1193626.31
1066,5,566357.11
1203,1,425410.57
4780,2,1536733.44
3640,5,1366558.75
2090,5,876766.79
1305,3,577021.75
4291,5,1528084.5
1857,2,641708.75
3725,4,1328446.05
4118,4,1462681.64
2626,4,960223.93
2960,4,1084060.19
1045,3,451284.36
3228,5,1221257.02
4234,4,1470400.36
3062,1,995507.62
2579,4,971531.9
3141,5,1219795.68
3614,4,1277897.99
2426,3,896329.64
1116,2,439373.26
4144,2,1377797.71
1703,5,731359.7
2259,2,754422.85
3065,2,1056132.45
3674,1,1137534.7
3581,5,1310903.93
3130,5,1171485.53
3661,2,1221268.92
4821,2,1521230.85
1169,2,451149.01
3668,3,1245087.56
2621,4,1007030.31
4578,3,1512126.35
4651,5,1653605.45
1219,1,392275.68
3100,4,1175478.82
4098,1,1274608.15
1166,5,599975.27
783,5,517995.09
4403,1,1359166.54
4065,1,1302847.65
2734,1,861970.58
1965,5,852933.96
629,2,277246.37
2560,1,790879.27
4172,4,1459891.89
2994,5,1160998.07
1492,3,571282.29
2621,3,930158.83
3084,4,1149215.18
4696,2,1520802.38
2723,1,858995.7
3688,5,1344449.49
3737,1,1210064.89
4636,5,1611861.36
843,3,401716.03
4961,1,1509006.06
2776,4,1059096.29
3701,2,1210157.53
1388,4,619963.48
2543,2,918277.85
1841,1,590430.55
4220,1,1350971.52
3383,2,1107085.36
4712,3,1558929.75
2915,5,1177263.51
1617,4,681878.19
4763,4,1601412.57
3501,4,1255938.38
2238,1,717945.26
1864,4,766541.92
3208,5,1209728.04
1424,5,721510.89
651,2,306434.72
1085,1,354000.71
1412,5,676090.94
2821,3,980307.4
995,1,343545.72
4295,1,1320291.19
2648,5,1086542.37
1056,3,452972.31
2052,2,729351.29
2620,5,1029530.41
3585,3,1202331.74
4004,1,1255152.99
656,3,354813.84
1234,1,431372.53
3776,5,1330355.62
654,5,421503.09
1496,4,667951.09
2794,4,1019727.86
3405,4,1225558.88
1677,5,727939.51
653,2,310532.02
4687,5,1674725.39
2216,3,829438.2
3702,5,1381251.14
3357,5,1288378.0
1286,1,412318.52
4868,1,1494626.56
4772,1,1499550.87
4267,5,1552704.4
3378,2,1099913.14
1142,3,477722.28
1165,3,486455.73
3926,2,1245698.1
4283,2,1359471.78
4201,3,1385354.15
1569,4,664818.03
2849,1,910116.73
1712,1,572269.46
1652,3,635428.75
3011,2,993620.26
643,4,395373.23
2989,3,1016779.71
3728,1,1187588.81
3705,5,1387207.71
4743,2,1510388.39
3642,5,1334631.28
3804,3,1316066.24
1857,1,604638.97
3213,4,1175664.91
4685,5,1653653.89
1857,4,788226.15
4794,1,1498001.59
3692,5,1368553.12
800,4,451326.13
1223,4,555797.73
3510,5,1293735.22
567,1,235484.91
4336,4,1503328.26
4493,3,1474347.78
3006,5,1189262.09
2037,2,730661.44
897,2,369852.53
3857,1,1201629.98
1663,3,652873.52
1055,4,526850.4
4161,2,1307639.99
2251,1,767546.99
3441,3,1166502.31
3157,3,1097061.89
3295,1,1039197.34
2829,1,938637.0
2459,4,935937.52
2101,1,712070.15
3293,4,1196034.55
1980,4,774762.3
1602,5,733294.15
3776,3,1280429.83
1799,3,668018.59
4379,3,1470854.46
2035,5,860942.05
577,4,384228.43
3331,4,1203167.06
3910,1,1209977.94
3221,5,1231666.68
4127,1,1275612.03
2032,5,797606.59
737,1,273673.06
2496,2,837718.53
3927,3,1335742.61
